"Pos","Start Number","Competitor","Class","Total Time","Diff","Laps","Best Lap","Best Lap No.","Best Speed","Layout"
"1","316","Levi Meador","LO206 325","5:01.881","0.000","10","29.732","9","48.433 mi/h","Reverse"
"2","18","Hunter McCown","LO206 325","5:01.998","0.117","10","29.753","7","48.398 mi/h","Reverse"
"3","40","Bennett Smith","LO206 325","5:04.199","2.318","10","29.808","7","48.309 mi/h","Reverse"
"4","46","Landen Duvall","LO206 325","5:04.911","3.030","10","29.839","6","48.259 mi/h","Reverse"
"5","4","Lexi Whitcraft","LO206 325","5:08.658","6.777","10","30.143","7","47.772 mi/h","Reverse"
"6","17","Chloe Jackson","LO206 325","5:09.086","7.205","10","30.230","7","47.635 mi/h","Reverse"
"7","90","Stephen Beasley","LO206 325","5:09.405","7.524","10","30.252","7","47.6 mi/h","Reverse"
"8","52","Clay Bernson","LO206 325","5:10.490","8.609","10","30.273","10","47.567 mi/h","Reverse"
"9","5","Shyann Fisher","LO206 325","5:10.753","8.872","10","30.255","8","47.595 mi/h","Reverse"
"10","1","Hunter Cordell","LO206 325","5:11.012","9.131","10","30.359","10","47.432 mi/h","Reverse"
